name,state,latest_version,shortdesc
analytic,installed,18.0.1.2,"{""en_US"": ""Analytic Accounting""}"
auth_signup,installed,18.0.1.0,"{""en_US"": ""Signup""}"
auth_totp,installed,18.0.1.0,"{""en_US"": ""Two-Factor Authentication (TOTP)""}"
auth_totp_portal,installed,18.0.1.0,"{""en_US"": ""TOTPortal""}"
base,installed,18.0.1.3,"{""en_US"": ""Base""}"
base_import,installed,18.0.2.0,"{""en_US"": ""Base import""}"
base_import_module,installed,18.0.1.0,"{""en_US"": ""Base import module""}"
base_setup,installed,18.0.1.0,"{""en_US"": ""Initial Setup Tools""}"
bus,installed,18.0.1.0,"{""en_US"": ""IM Bus""}"
digest,installed,18.0.1.1,"{""en_US"": ""KPI Digests""}"
html_editor,installed,18.0.1.0,"{""en_US"": ""HTML Editor""}"
http_routing,installed,18.0.1.0,"{""en_US"": ""Web Routing""}"
iap,installed,18.0.1.1,"{""en_US"": ""In-App Purchases""}"
ipai_platform_audit,installed,18.0.1.0.0,"{""en_US"": ""IPAI Platform - Audit Trail""}"
ipai_platform_permissions,installed,18.0.1.0.0,"{""en_US"": ""IPAI Platform Permissions""}"
ipai_workos_affine,installed,18.0.1.0.0,"{""en_US"": ""IPAI WorkOS - AFFiNE Clone (Umbrella)""}"
ipai_workos_blocks,installed,18.0.1.0.0,"{""en_US"": ""IPAI Work OS Blocks""}"
ipai_workos_canvas,installed,18.0.1.0.0,"{""en_US"": ""IPAI WorkOS - Canvas (Edgeless)""}"
ipai_workos_collab,installed,18.0.1.0.0,"{""en_US"": ""IPAI Work OS Collaboration""}"
ipai_workos_core,installed,18.0.1.0.0,"{""en_US"": ""IPAI Work OS Core""}"
ipai_workos_db,installed,18.0.1.0.0,"{""en_US"": ""IPAI Work OS Database""}"
ipai_workos_search,installed,18.0.1.0.0,"{""en_US"": ""IPAI Work OS Search""}"
ipai_workos_templates,installed,18.0.1.0.0,"{""en_US"": ""IPAI Work OS Templates""}"
ipai_workos_views,installed,18.0.1.0.0,"{""en_US"": ""IPAI Work OS Views""}"
mail,installed,18.0.1.18,"{""en_US"": ""Discuss""}"
portal,installed,18.0.1.0,"{""en_US"": ""Customer Portal""}"
portal_rating,installed,18.0.1.0,"{""en_US"": ""Portal Rating""}"
rating,installed,18.0.1.1,"{""en_US"": ""Customer Rating""}"
resource,installed,18.0.1.1,"{""en_US"": ""Resource""}"
uom,installed,18.0.1.0,"{""en_US"": ""Units of measure""}"
web,installed,18.0.1.0,"{""en_US"": ""Web""}"
web_editor,installed,18.0.1.0,"{""en_US"": ""Web Editor""}"
web_tour,installed,18.0.1.0,"{""en_US"": ""Tours""}"
web_unsplash,installed,18.0.1.1,"{""en_US"": ""Unsplash Image Library""}"
