REPOSITORY                            TAG                            DIGEST                                                                    IMAGE ID       CREATED         SIZE
postgres                              15                             sha256:a7711af921c380de0fda7c48a61fab5ac4def145fd9fc00ccea7355fd6270bb4   a7711af921c3   9 days ago      627MB
postgres                              15-alpine                      sha256:b3968e348b48f1198cc6de6611d055dbad91cd561b7990c406c3fc28d7095b21   b3968e348b48   3 weeks ago     392MB
alpine                                latest                         sha256:865b95f46d98cf867a156fe4a135ad3fe50d2056aa3f25ed31662dff6da4eb62   865b95f46d98   3 weeks ago     13MB
n8nio/n8n                             2.0.2                          sha256:e3a4256dd2aa3b987e10da3c1194081575933987b26a604a4f52d2bdd62a5b72   e3a4256dd2aa   3 weeks ago     1.81GB
n8nio/n8n                             latest                         sha256:e3a4256dd2aa3b987e10da3c1194081575933987b26a604a4f52d2bdd62a5b72   e3a4256dd2aa   3 weeks ago     1.81GB
ocr-adapter-ocr-adapter               latest                         sha256:d147389ec84747312391a9ef176e92f3137fd2a5ad2671998079b7a455ac49bf   d147389ec847   4 weeks ago     258MB
tax-rules-service-tax_rules_service   latest                         sha256:1a9b96c3b091656377ff03b1e808fe788173528b78fadc97a7d75da594a92f62   1a9b96c3b091   5 weeks ago     281MB
services-ocr-service                  latest                         sha256:b75851d01799ce276c9375c3a5ccb65e305009b1b3f10aa0b700cdd23fb24de3   b75851d01799   5 weeks ago     648MB
services-agent-service                latest                         sha256:d0f880be836e30cd9ce7020324bc8b0a7475c8913b6e5ba2cfd1eff05b3b5e99   d0f880be836e   5 weeks ago     224MB
ghcr.io/jgtolentino/odoo-ce           v0.11.0                        sha256:a708d2cbf9ed487ab490d4c12892dc853fbf4ae8a367bf20bd6c3884d005fe3b   a708d2cbf9ed   6 weeks ago     4.06GB
ghcr.io/jgtolentino/odoo-ce           v0.10.1-marketing-lean-amd64   sha256:259940cda41ecbbbf6d6ab3115d2c8d92beff0a62fdf36c255d843d38ac39d90   259940cda41e   6 weeks ago     3.43GB
ghcr.io/jgtolentino/odoo-ce           v0.10.0-marketing-lean-amd64   sha256:f58f12b3933063a9643c756294cb30b57d1cd9cc17c675edc02a3331d559d4b8   f58f12b39330   6 weeks ago     4.06GB
ghcr.io/jgtolentino/odoo-ce           v0.10.0-marketing-lean         sha256:788087d9086d66021123224844ed55b1a281e55dbf61ccaa179fb2acf22a0902   788087d9086d   6 weeks ago     4.04GB
ghcr.io/jgtolentino/odoo-ce           v0.10.0                        sha256:d8a69adccaddd0b77b987ebb08c725e87d55b38fa73ef2382a9c475830138a29   d8a69adccadd   6 weeks ago     3.33GB
ghcr.io/jgtolentino/odoo-ce           v0.9.1                         sha256:c1031faa81ed610ccee641791240c96f769f3738255e4c7c1b9a6160f0c7e31d   c1031faa81ed   6 weeks ago     3.43GB
ghcr.io/jgtolentino/odoo-ce           v0.9.0-amd64                   sha256:6c9a5fc4d086f0be23b8c85d360276dd8b10b7fdd3e7773ee7d8a449a967fa67   6c9a5fc4d086   6 weeks ago     3.44GB
ghcr.io/jgtolentino/odoo-ce           latest                         sha256:805c1d5aeafdc78866b921f64f38efb72a7d5f64d09d37d5b1645a248087e10d   805c1d5aeafd   6 weeks ago     3.43GB
ghcr.io/jgtolentino/odoo-ce           v0.9.0                         sha256:805c1d5aeafdc78866b921f64f38efb72a7d5f64d09d37d5b1645a248087e10d   805c1d5aeafd   6 weeks ago     3.43GB
postgres                              16-alpine                      sha256:79c06d285ed9186efbbc45c73413b3c3510c3c94ffede2f25d1e523f74d07f28   79c06d285ed9   7 weeks ago     394MB
odoo-webhook                          latest                         sha256:d3ba2ab8dba1208a5cd70c869b6dfa2deff87912eb612f778b8b425473dee45d   d3ba2ab8dba1   7 weeks ago     210MB
ghcr.io/jgtolentino/odoo-18-ce        1.0.0-amd64                    sha256:c8e9dbdc33915d480b97354532c2d02e06464084e18269670b6013f92114d156   c8e9dbdc3391   8 weeks ago     5.96GB
ghcr.io/jgtolentino/odoo-18-ce        1.0.202511130505-amd64         sha256:5a5d96f8692750cc4b11f899a84d0cb989e0581569ad15978b4b7dff549e8ccb   5a5d96f86927   8 weeks ago     5.96GB
ghcr.io/jgtolentino/odoo-18-ce        1.0.0                          <none>                                                                    902020d59af9   8 weeks ago     5.29GB
localhost/odoo-18-ce                  1.0.0-amd64                    sha256:902020d59af9830024db8829aee7e84e32748f5a43a2ede99b05717b55af9c5a   902020d59af9   8 weeks ago     5.29GB
postgres                              16                             sha256:21f6013073bc6b92830a2129570e2f5ec42a6c734b5a985a41e83aa58f54c3c1   21f6013073bc   2 months ago    635MB
redis                                 7-alpine                       sha256:ee64a64eaab618d88051c3ade8f6352d11531fcf79d9a4818b9b183d8c1d18ba   ee64a64eaab6   2 months ago    60.7MB
nginx                                 alpine                         sha256:b3c656d55d7ad751196f21b7fd2e8d4da9cb430e32f646adcf92441b72f82b14   b3c656d55d7a   2 months ago    79.8MB
mattermost/mattermost-team-edition    latest                         sha256:2bcef2a8aebf40141e14866d3a1c7eac9553eeb4c7eef5c195013dbf5041c082   2bcef2a8aebf   2 months ago    1.3GB
minio/minio                           latest                         sha256:14cea493d9a34af32f524e538b8346cf79f3321eff8e708c1e2960462bd8936e   14cea493d9a3   4 months ago    241MB
caddy                                 2                              sha256:cef7fe17d4df3b0843eae25bed319d6140b1a7bb13ccef076f5f1783d5bca9b1   cef7fe17d4df   4 months ago    75.3MB
caddy                                 2-alpine                       sha256:953131cfea8e12bfe1c631a36308e9660e4389f0c3dfb3be957044d3ac92d446   953131cfea8e   4 months ago    75.3MB
quay.io/keycloak/keycloak             26.0.2                         sha256:cde8d7fff48622d7bff959ea2a98e945ae8a7ccb0117b44858de77243b96231e   cde8d7fff486   10 months ago   691MB
quay.io/keycloak/keycloak             24.0                           sha256:f8ade94c1d0ad2f2fa7734a455fee5392764f402c43ca35e9af6bf63a2541dc9   f8ade94c1d0a   10 months ago   730MB
