=== Ports ===
Netid State  Recv-Q Send-Q Local Address:Port Peer Address:PortProcess                                                                                  
udp   UNCONN 0      0      127.0.0.53%lo:53        0.0.0.0:*    users:(("systemd-resolve",pid=640,fd=13))                                               
tcp   LISTEN 0      128          0.0.0.0:8101      0.0.0.0:*    users:(("python3",pid=642514,fd=3))                                                     
tcp   LISTEN 0      4096         0.0.0.0:8080      0.0.0.0:*    users:(("docker-proxy",pid=642209,fd=7))                                                
tcp   LISTEN 0      4096         0.0.0.0:8065      0.0.0.0:*    users:(("docker-proxy",pid=642265,fd=7))                                                
tcp   LISTEN 0      4096         0.0.0.0:8070      0.0.0.0:*    users:(("docker-proxy",pid=642044,fd=7))                                                
tcp   LISTEN 0      4096         0.0.0.0:8071      0.0.0.0:*    users:(("docker-proxy",pid=641649,fd=7))                                                
tcp   LISTEN 0      4096       127.0.0.1:6379      0.0.0.0:*    users:(("docker-proxy",pid=641821,fd=7))                                                
tcp   LISTEN 0      4096         0.0.0.0:8000      0.0.0.0:*    users:(("docker-proxy",pid=641582,fd=7))                                                
tcp   LISTEN 0      4096       127.0.0.1:8069      0.0.0.0:*    users:(("docker-proxy",pid=1080118,fd=7))                                               
tcp   LISTEN 0      128          0.0.0.0:22        0.0.0.0:*    users:(("sshd",pid=801,fd=3))                                                           
tcp   LISTEN 0      511          0.0.0.0:80        0.0.0.0:*    users:(("nginx",pid=3608326,fd=7),("nginx",pid=3608325,fd=7),("nginx",pid=3581919,fd=7))
tcp   LISTEN 0      4096       127.0.0.1:8002      0.0.0.0:*    users:(("docker-proxy",pid=642170,fd=7))                                                
tcp   LISTEN 0      511          0.0.0.0:443       0.0.0.0:*    users:(("nginx",pid=3608326,fd=6),("nginx",pid=3608325,fd=6),("nginx",pid=3581919,fd=6))
tcp   LISTEN 0      4096   127.0.0.53%lo:53        0.0.0.0:*    users:(("systemd-resolve",pid=640,fd=14))                                               
tcp   LISTEN 0      4096       127.0.0.1:5678      0.0.0.0:*    users:(("docker-proxy",pid=641252,fd=7))                                                
tcp   LISTEN 0      4096            [::]:8080         [::]:*    users:(("docker-proxy",pid=642214,fd=7))                                                
tcp   LISTEN 0      4096            [::]:8065         [::]:*    users:(("docker-proxy",pid=642270,fd=7))                                                
tcp   LISTEN 0      4096            [::]:8070         [::]:*    users:(("docker-proxy",pid=642065,fd=7))                                                
tcp   LISTEN 0      4096            [::]:8071         [::]:*    users:(("docker-proxy",pid=641674,fd=7))                                                
tcp   LISTEN 0      4096            [::]:8000         [::]:*    users:(("docker-proxy",pid=641593,fd=7))                                                
tcp   LISTEN 0      128             [::]:22           [::]:*    users:(("sshd",pid=801,fd=4))                                                           
